                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76252,                0.55471,                 1.0869,                0.97534,                0.96448,                 0.9907,                0.83707,                0.65107,                0.37087,                  1.041,               0.006634,               0.006634,               0.006634
                     36,                0.74907,                0.54951,                 1.0885,                0.98215,                0.95121,                0.98486,                0.83374,                0.67069,                0.40194,                 1.0486,               0.006535,               0.006535,               0.006535
                     37,                 0.7412,                0.53166,                  1.076,                0.97028,                0.96655,                0.98989,                0.83977,                0.65668,                0.37922,                 1.0418,               0.006436,               0.006436,               0.006436
                     38,                0.73553,                0.53326,                 1.0784,                 0.9752,                 0.9671,                0.98954,                0.83227,                0.69444,                0.38097,                 1.0615,               0.006337,               0.006337,               0.006337
                     39,                0.74544,                 0.5263,                   1.08,                0.97501,                0.96766,                   0.99,                0.84131,                0.66395,                0.37204,                 1.0464,               0.006238,               0.006238,               0.006238
                     40,                0.73794,                0.52258,                 1.0741,                 0.9702,                0.97511,                0.99217,                0.85396,                0.63985,                 0.3663,                  1.028,               0.006139,               0.006139,               0.006139
                     41,                0.72721,                0.51417,                 1.0712,                0.97921,                0.97109,                0.98808,                0.83283,                0.66843,                 0.3788,                 1.0457,                0.00604,                0.00604,                0.00604
                     42,                0.72509,                0.52363,                 1.0681,                0.97667,                0.98422,                0.98911,                 0.8394,                0.67422,                0.36185,                 1.0469,               0.005941,               0.005941,               0.005941
                     43,                0.71802,                0.50758,                 1.0667,                0.96827,                0.97881,                0.99091,                  0.853,                 0.6458,                0.35816,                 1.0266,               0.005842,               0.005842,               0.005842
                     44,                0.70631,                0.49887,                 1.0564,                0.97599,                0.97836,                0.99204,                0.85404,                 0.6261,                0.34317,                 1.0353,               0.005743,               0.005743,               0.005743
                     45,                0.69796,                0.48037,                 1.0582,                0.97659,                0.97586,                0.99156,                0.83735,                0.66854,                0.35988,                 1.0519,               0.005644,               0.005644,               0.005644
                     46,                0.70353,                0.49502,                 1.0591,                0.98341,                0.97136,                0.99256,                0.85099,                0.65046,                0.33719,                  1.039,               0.005545,               0.005545,               0.005545
                     47,                0.69873,                  0.479,                 1.0505,                0.98179,                0.96348,                 0.9914,                0.85197,                0.64203,                0.34894,                 1.0272,               0.005446,               0.005446,               0.005446
                     48,                 0.6892,                0.48203,                 1.0487,                0.97566,                0.96958,                0.98713,                0.84154,                0.66684,                0.36576,                 1.0531,               0.005347,               0.005347,               0.005347
                     49,                0.68168,                0.47379,                 1.0491,                0.97811,                0.96901,                0.99204,                0.86232,                0.61689,                0.34272,                 1.0078,               0.005248,               0.005248,               0.005248
                     50,                0.67524,                 0.4777,                 1.0409,                0.98336,                0.98144,                0.99348,                0.86103,                0.61588,                0.32715,                 1.0104,               0.005149,               0.005149,               0.005149
                     51,                0.66912,                0.46359,                 1.0401,                0.98849,                 0.9747,                0.99228,                0.86008,                0.61328,                0.32998,                  1.008,                0.00505,                0.00505,                0.00505
                     52,                0.67664,                0.47552,                 1.0468,                0.97888,                0.97536,                0.99094,                0.85602,                0.64405,                 0.3434,                  1.025,               0.004951,               0.004951,               0.004951
                     53,                0.68712,                0.47029,                 1.0477,                0.98584,                0.97875,                0.99338,                0.86804,                0.61647,                 0.3245,                 1.0103,               0.004852,               0.004852,               0.004852
                     54,                0.66918,                0.45577,                 1.0433,                0.98425,                0.97955,                0.99219,                0.86178,                0.60666,                0.32578,                 1.0042,               0.004753,               0.004753,               0.004753
                     55,                0.66406,                 0.4575,                 1.0374,                0.98383,                0.98427,                0.99352,                0.85938,                0.61675,                0.31632,                 1.0177,               0.004654,               0.004654,               0.004654
                     56,                0.65836,                0.44733,                 1.0363,                0.98053,                0.97256,                0.99221,                0.86466,                0.61198,                0.32995,                  1.008,               0.004555,               0.004555,               0.004555
                     57,                0.65165,                0.44059,                 1.0259,                0.97687,                 0.9808,                0.99277,                0.86825,                0.60994,                0.31669,                 1.0057,               0.004456,               0.004456,               0.004456
                     58,                0.64735,                0.44523,                 1.0302,                0.97629,                0.97912,                0.99202,                0.87379,                0.59414,                0.31548,                 1.0015,               0.004357,               0.004357,               0.004357
                     59,                0.63402,                0.43413,                 1.0221,                0.98444,                0.97805,                0.99414,                0.87156,                0.60656,                0.30357,                 1.0126,               0.004258,               0.004258,               0.004258
                     60,                0.64286,                0.44177,                 1.0284,                0.97418,                0.98124,                0.99362,                0.86672,                0.60174,                0.30925,                 1.0109,               0.004159,               0.004159,               0.004159
                     61,                0.63902,                0.43563,                 1.0215,                0.98778,                0.98417,                 0.9939,                0.87181,                0.58162,                0.30191,                0.99609,                0.00406,                0.00406,                0.00406
                     62,                0.62924,                0.42304,                 1.0159,                 0.9826,                0.97778,                0.99374,                0.86811,                0.60703,                0.30663,                 1.0134,               0.003961,               0.003961,               0.003961
                     63,                0.63333,                0.43206,                 1.0226,                0.98433,                0.97719,                0.99363,                0.87759,                0.58267,                0.30152,                 0.9856,               0.003862,               0.003862,               0.003862
                     64,                0.61996,                0.41747,                  1.012,                0.98612,                0.97538,                0.99383,                0.87609,                0.60374,                0.30678,                 1.0061,               0.003763,               0.003763,               0.003763
                     65,                0.61319,                0.40455,                 1.0082,                0.98669,                0.97824,                0.99409,                0.87957,                0.58621,                0.30071,                 1.0012,               0.003664,               0.003664,               0.003664
                     66,                0.62313,                0.41947,                  1.016,                0.98058,                0.98411,                0.99401,                0.87418,                0.59732,                0.29391,                 1.0007,               0.003565,               0.003565,               0.003565
                     67,                0.61678,                0.40994,                   1.02,                0.99044,                0.97449,                0.99412,                0.87669,                0.59276,                0.29435,                0.99542,               0.003466,               0.003466,               0.003466
                     68,                0.61165,                0.40736,                 1.0126,                0.98486,                0.98796,                0.99387,                0.87273,                 0.6052,                  0.291,                 1.0092,               0.003367,               0.003367,               0.003367
                     69,                0.60757,                0.41284,                 1.0125,                0.99271,                0.97196,                0.99384,                0.87125,                0.59022,                0.29859,                 1.0017,               0.003268,               0.003268,               0.003268
                     70,                0.61941,                0.41132,                 1.0127,                0.98874,                0.97921,                 0.9934,                 0.8763,                0.58505,                0.29201,                0.99985,               0.003169,               0.003169,               0.003169
                     71,                0.59318,                0.39705,                 1.0001,                0.99189,                0.98132,                0.99454,                0.88038,                0.57799,                0.28666,                0.99133,                0.00307,                0.00307,                0.00307
                     72,                0.59376,                0.39391,                 1.0019,                0.99012,                0.98591,                0.99444,                0.88028,                0.59418,                0.28779,                0.99311,               0.002971,               0.002971,               0.002971
                     73,                0.59528,                0.39132,                0.99977,                0.98921,                0.98346,                0.99236,                0.87625,                  0.583,                0.28975,                0.99346,               0.002872,               0.002872,               0.002872
                     74,                0.58237,                0.37827,                0.99264,                0.98735,                0.98485,                0.99456,                0.88566,                 0.5738,                0.28338,                0.98746,               0.002773,               0.002773,               0.002773
                     75,                0.57747,                 0.3893,                0.99573,                0.99015,                0.98085,                0.99049,                0.87377,                0.58178,                0.28875,                0.99909,               0.002674,               0.002674,               0.002674
                     76,                0.57571,                0.38014,                0.99201,                0.99255,                0.97663,                0.99172,                 0.8792,                 0.5825,                0.28318,                0.99894,               0.002575,               0.002575,               0.002575
                     77,                0.57492,                0.37449,                0.99077,                0.98911,                 0.9817,                 0.9929,                0.88568,                0.57518,                0.27897,                0.98856,               0.002476,               0.002476,               0.002476
                     78,                0.57587,                0.37964,                0.99241,                0.98076,                0.98161,                0.99377,                0.88409,                0.56976,                0.28825,                0.98642,               0.002377,               0.002377,               0.002377
                     79,                0.56076,                 0.3699,                0.98173,                0.98615,                0.98176,                0.99421,                0.88153,                0.58866,                0.27909,                0.99695,               0.002278,               0.002278,               0.002278
                     80,                0.56278,                0.36243,                0.98528,                0.98088,                0.98189,                0.99407,                0.88218,                0.57511,                0.28378,                0.99618,               0.002179,               0.002179,               0.002179
                     81,                0.56364,                0.35944,                0.98437,                 0.9856,                0.98816,                0.99396,                0.88653,                0.57664,                0.27633,                0.98791,                0.00208,                0.00208,                0.00208
                     82,                0.55708,                0.36313,                0.98197,                0.98886,                0.98687,                0.99461,                0.88277,                0.57653,                0.27159,                0.98994,               0.001981,               0.001981,               0.001981
                     83,                0.55369,                0.35631,                0.98105,                0.98126,                0.98996,                0.99406,                0.88982,                0.55792,                0.26845,                0.97688,               0.001882,               0.001882,               0.001882
                     84,                 0.5452,                0.35311,                0.97409,                0.99151,                0.98575,                0.99451,                0.88786,                 0.5703,                0.27371,                0.98745,               0.001783,               0.001783,               0.001783
                     85,                0.55545,                0.35595,                0.98441,                0.99069,                0.98889,                 0.9946,                0.89467,                 0.5537,                0.26605,                0.96749,               0.001684,               0.001684,               0.001684
                     86,                0.54085,                0.35109,                0.97696,                0.99118,                0.98733,                0.99473,                0.88915,                0.56194,                0.26499,                0.97994,               0.001585,               0.001585,               0.001585
                     87,                0.54877,                0.34581,                0.98136,                0.98645,                0.98591,                0.99469,                0.88859,                0.56055,                0.26347,                0.98038,               0.001486,               0.001486,               0.001486
                     88,                0.53865,                0.34932,                0.97907,                0.98739,                0.98896,                0.99463,                0.88786,                0.55822,                0.26453,                0.98084,               0.001387,               0.001387,               0.001387
                     89,                0.53215,                0.34857,                0.97575,                0.99156,                0.98889,                0.99475,                0.89571,                0.55361,                0.26279,                0.98303,               0.001288,               0.001288,               0.001288
                     90,                0.53409,                0.33971,                0.97469,                0.98259,                0.98825,                0.99428,                 0.8931,                0.56371,                0.26154,                0.99041,               0.001189,               0.001189,               0.001189
                     91,                0.53354,                0.34041,                0.97315,                  0.988,                0.98931,                 0.9945,                0.89386,                0.55585,                0.26248,                0.98191,                0.00109,                0.00109,                0.00109
                     92,                0.53395,                0.33819,                0.97427,                0.98945,                0.98581,                 0.9946,                0.89344,                0.56181,                0.26123,                0.98706,               0.000991,               0.000991,               0.000991
                     93,                0.52841,                0.33398,                0.96998,                0.98979,                0.98986,                0.99464,                0.89478,                0.55292,                0.26316,                0.97809,               0.000892,               0.000892,               0.000892
                     94,                0.51622,                0.33368,                0.96783,                0.99096,                0.99088,                0.99472,                0.89534,                0.55096,                0.25763,                0.97717,               0.000793,               0.000793,               0.000793
                     95,                0.52278,                 0.3337,                0.97183,                0.99313,                0.99088,                0.99464,                0.89641,                0.54681,                0.25869,                0.97689,               0.000694,               0.000694,               0.000694
                     96,                0.51646,                0.33139,                0.96541,                0.99005,                0.98786,                0.99464,                0.89613,                0.55591,                0.25944,                0.97965,               0.000595,               0.000595,               0.000595
                     97,                0.50987,                0.33361,                0.96502,                0.98943,                0.99294,                0.99431,                0.89265,                0.55429,                0.25787,                0.98286,               0.000496,               0.000496,               0.000496
                     98,                0.50766,                0.32301,                0.96025,                0.99194,                0.98784,                0.99452,                0.89789,                0.55217,                0.25753,                0.97866,               0.000397,               0.000397,               0.000397
                     99,                0.51195,                0.32373,                0.96496,                0.99225,                0.98758,                0.99447,                0.89576,                0.54595,                0.25536,                0.97507,               0.000298,               0.000298,               0.000298
